'Elapsed time','MLII','V1'
'0:00.789',-0.675,-0.760
'0:00.792',-0.680,-0.730
'0:00.794',-0.705,-0.665
'0:00.797',-0.740,-0.665
'0:00.800',-0.755,-0.725
'0:00.803',-0.765,-0.805
'0:00.806',-0.790,-0.845
'0:00.808',-0.800,-0.815
'0:00.811',-0.830,-0.775
'0:00.814',-0.850,-0.745
'0:00.817',-0.855,-0.760
'0:00.819',-0.845,-0.790
'0:00.822',-0.840,-0.790
'0:00.825',-0.840,-0.770
'0:00.828',-0.855,-0.710
'0:00.831',-0.855,-0.715
'0:00.833',-0.865,-0.775
'0:00.836',-0.855,-0.825
'0:00.839',-0.855,-0.840
'0:00.842',-0.850,-0.795
'0:00.844',-0.875,-0.760
'0:00.847',-0.880,-0.745
'0:00.850',-0.900,-0.785
'0:00.853',-0.910,-0.840
'0:00.856',-0.925,-0.830
'0:00.858',-0.975,-0.785
'0:00.861',-1.035,-0.735
'0:00.864',-1.070,-0.740
'0:00.867',-1.070,-0.785
'0:00.869',-1.020,-0.805
'0:00.872',-0.915,-0.785
'0:00.875',-0.805,-0.700
'0:00.878',-0.675,-0.585
'0:00.881',-0.490,-0.520
'0:00.883',-0.280,-0.515
'0:00.886',-0.070,-0.490
'0:00.889',0.135,-0.450
'0:00.892',0.315,-0.375
'0:00.894',0.480,-0.330
'0:00.897',0.615,-0.360
'0:00.900',0.715,-0.500
'0:00.903',0.790,-0.630
'0:00.906',0.795,-0.765
'0:00.908',0.770,-0.835
'0:00.911',0.710,-0.880
'0:00.914',0.635,-0.885
'0:00.917',0.550,-0.835
'0:00.919',0.425,-0.745
'0:00.922',0.190,-0.610
'0:00.925',-0.135,-0.535
'0:00.928',-0.450,-0.540
'0:00.931',-0.690,-0.685
'0:00.933',-0.830,-0.830
'0:00.936',-0.870,-0.915
'0:00.939',-0.870,-0.910
'0:00.942',-0.840,-0.845
'0:00.944',-0.800,-0.800
'0:00.947',-0.790,-0.800
'0:00.950',-0.775,-0.830
'0:00.953',-0.780,-0.835
'0:00.956',-0.820,-0.795
'0:00.958',-0.865,-0.755
'0:00.961',-0.890,-0.715
'0:00.964',-0.915,-0.750
'0:00.967',-0.920,-0.810
'0:00.969',-0.930,-0.865
'0:00.972',-0.915,-0.840
'0:00.975',-0.935,-0.765
'0:00.978',-0.950,-0.730
'0:00.981',-0.970,-0.740
'0:00.983',-0.955,-0.785
'0:00.986',-0.935,-0.795
'0:00.989',-0.920,-0.780
'0:00.992',-0.920,-0.700
'0:00.994',-0.925,-0.670
'0:00.997',-0.905,-0.685
'0:01.000',-0.905,-0.750
'0:01.003',-0.890,-0.780
'0:01.006',-0.905,-0.785
'0:01.008',-0.915,-0.750
'0:01.011',-0.930,-0.700
'0:01.014',-0.975,-0.690
'0:01.017',-0.945,-0.720
'0:01.019',-0.935,-0.775
'0:01.022',-0.905,-0.775
'0:01.025',-0.905,-0.710
'0:01.028',-0.915,-0.645
'0:01.031',-0.915,-0.630
'0:01.033',-0.925,-0.675
'0:01.036',-0.915,-0.730
'0:01.039',-0.910,-0.755
'0:01.042',-0.920,-0.710
'0:01.044',-0.935,-0.665
'0:01.047',-0.925,-0.645
'0:01.050',-0.930,-0.665
'0:01.053',-0.920,-0.730
'0:01.056',-0.885,-0.715
'0:01.058',-0.880,-0.680
'0:01.061',-0.905,-0.600
'0:01.064',-0.900,-0.585
'0:01.067',-0.905,-0.625
'0:01.069',-0.890,-0.670
'0:01.072',-0.870,-0.725
'0:01.075',-0.870,-0.675
'0:01.078',-0.895,-0.605
'0:01.081',-0.915,-0.570
'0:01.083',-0.915,-0.615
'0:01.086',-0.895,-0.655
'0:01.089',-0.875,-0.670
'0:01.092',-0.865,-0.615
'0:01.094',-0.850,-0.540
'0:01.097',-0.850,-0.530
'0:01.100',-0.885,-0.555
'0:01.103',-0.850,-0.625
'0:01.106',-0.835,-0.660
'0:01.108',-0.830,-0.650
'0:01.111',-0.840,-0.595
'0:01.114',-0.860,-0.565
'0:01.117',-0.875,-0.595
'0:01.119',-0.850,-0.630
'0:01.122',-0.840,-0.655
'0:01.125',-0.820,-0.605
'0:01.128',-0.810,-0.540
'0:01.131',-0.825,-0.525
'0:01.133',-0.825,-0.590
'0:01.136',-0.810,-0.665
'0:01.139',-0.815,-0.695
'0:01.142',-0.790,-0.655
'0:01.144',-0.820,-0.625
'0:01.147',-0.835,-0.595
'0:01.150',-0.835,-0.630
'0:01.153',-0.810,-0.695
'0:01.156',-0.790,-0.720
'0:01.158',-0.770,-0.710
'0:01.161',-0.775,-0.660
'0:01.164',-0.775,-0.615
'0:01.167',-0.785,-0.610
'0:01.169',-0.800,-0.680
'0:01.172',-0.795,-0.755
'0:01.175',-0.790,-0.800
'0:01.178',-0.790,-0.785
'0:01.181',-0.815,-0.725
'0:01.183',-0.820,-0.700
'0:01.186',-0.825,-0.725
'0:01.189',-0.815,-0.775
'0:01.192',-0.785,-0.795
'0:01.194',-0.790,-0.770
'0:01.197',-0.790,-0.730
'0:01.200',-0.800,-0.710
'0:01.203',-0.815,-0.755
'0:01.206',-0.815,-0.815
'0:01.208',-0.815,-0.860
'0:01.211',-0.820,-0.845
'0:01.214',-0.840,-0.790
'0:01.217',-0.850,-0.740
'0:01.219',-0.855,-0.755
'0:01.222',-0.855,-0.780
'0:01.225',-0.840,-0.835
'0:01.228',-0.820,-0.825
'0:01.231',-0.815,-0.765
'0:01.233',-0.830,-0.725
'0:01.236',-0.840,-0.740
'0:01.239',-0.845,-0.785
'0:01.242',-0.850,-0.860
'0:01.244',-0.840,-0.850
'0:01.247',-0.855,-0.810
'0:01.250',-0.870,-0.775
'0:01.253',-0.875,-0.755
'0:01.256',-0.850,-0.810
'0:01.258',-0.835,-0.835
'0:01.261',-0.830,-0.835
'0:01.264',-0.825,-0.795
'0:01.267',-0.860,-0.760
'0:01.269',-0.890,-0.750
'0:01.272',-0.875,-0.810
'0:01.275',-0.875,-0.885
'0:01.278',-0.885,-0.885
'0:01.281',-0.875,-0.860
'0:01.283',-0.895,-0.795
'0:01.286',-0.900,-0.755
'0:01.289',-0.915,-0.785
'0:01.292',-0.915,-0.840
'0:01.294',-0.880,-0.870
'0:01.297',-0.895,-0.845
'0:01.300',-0.920,-0.795
'0:01.303',-0.925,-0.785
'0:01.306',-0.940,-0.825
'0:01.308',-0.940,-0.880
'0:01.311',-0.945,-0.885
'0:01.314',-0.950,-0.850
'0:01.317',-0.960,-0.790
'0:01.319',-0.955,-0.795
'0:01.322',-0.940,-0.825
'0:01.325',-0.930,-0.845
'0:01.328',-0.920,-0.825
'0:01.331',-0.920,-0.785
'0:01.333',-0.930,-0.750
'0:01.336',-0.930,-0.775
'0:01.339',-0.925,-0.825
'0:01.342',-0.920,-0.875
'0:01.344',-0.920,-0.860
'0:01.347',-0.925,-0.825
'0:01.350',-0.925,-0.795
'0:01.353',-0.905,-0.805
'0:01.356',-0.870,-0.835
'0:01.358',-0.845,-0.850
'0:01.361',-0.825,-0.815
'0:01.364',-0.835,-0.765
'0:01.367',-0.860,-0.750
'0:01.369',-0.850,-0.775
'0:01.372',-0.835,-0.840
'0:01.375',-0.795,-0.885
'0:01.378',-0.770,-0.855
'0:01.381',-0.760,-0.800
'0:01.383',-0.750,-0.755
'0:01.386',-0.750,-0.755
'0:01.389',-0.720,-0.785
'0:01.392',-0.680,-0.820
'0:01.394',-0.665,-0.785
'0:01.397',-0.660,-0.730
'0:01.400',-0.670,-0.685
'0:01.403',-0.700,-0.675
'0:01.406',-0.690,-0.750
'0:01.408',-0.690,-0.815
'0:01.411',-0.695,-0.810
'0:01.414',-0.700,-0.760
'0:01.417',-0.735,-0.720
'0:01.419',-0.745,-0.710
'0:01.422',-0.735,-0.740
'0:01.425',-0.720,-0.780
'0:01.428',-0.720,-0.770
'0:01.431',-0.710,-0.745
'0:01.433',-0.715,-0.705
'0:01.436',-0.740,-0.720
'0:01.439',-0.750,-0.770
'0:01.442',-0.765,-0.830
'0:01.444',-0.800,-0.860
'0:01.447',-0.840,-0.820
'0:01.450',-0.875,-0.785
'0:01.453',-0.885,-0.785
'0:01.456',-0.900,-0.825
'0:01.458',-0.880,-0.865
'0:01.461',-0.875,-0.855
'0:01.464',-0.885,-0.805
'0:01.467',-0.890,-0.760
'0:01.469',-0.905,-0.770
'0:01.472',-0.925,-0.820
'0:01.475',-0.925,-0.885
'0:01.478',-0.935,-0.900
'0:01.481',-0.940,-0.855
'0:01.483',-0.945,-0.790
'0:01.486',-0.970,-0.780
'0:01.489',-0.955,-0.800
'0:01.492',-0.950,-0.865
'0:01.494',-0.905,-0.865
'0:01.497',-0.920,-0.835
'0:01.500',-0.930,-0.795
'0:01.503',-0.965,-0.765
'0:01.506',-1.000,-0.825
'0:01.508',-1.035,-0.885
'0:01.511',-1.070,-0.940
'0:01.514',-1.125,-0.910
'0:01.517',-1.155,-0.865
'0:01.519',-1.160,-0.770
'0:01.522',-1.100,-0.770
'0:01.525',-0.980,-0.770
'0:01.528',-0.820,-0.740
'0:01.531',-0.630,-0.660
'0:01.533',-0.435,-0.560
'0:01.536',-0.250,-0.480
'0:01.539',-0.060,-0.475
'0:01.542',0.085,-0.485
'0:01.544',0.265,-0.530
'0:01.547',0.420,-0.520
'0:01.550',0.545,-0.510
'0:01.553',0.625,-0.525
'0:01.556',0.675,-0.605
'0:01.558',0.710,-0.780
'0:01.561',0.715,-0.915
'0:01.564',0.680,-0.980
'0:01.567',0.635,-0.920
'0:01.569',0.555,-0.820
'0:01.572',0.450,-0.715
'0:01.575',0.245,-0.670
'0:01.578',0.015,-0.685
'0:01.581',-0.275,-0.730
'0:01.583',-0.560,-0.745
'0:01.586',-0.760,-0.770
'0:01.589',-0.895,-0.820
'0:01.592',-0.945,-0.880
'0:01.594',-0.925,-0.935
'0:01.597',-0.855,-0.960
'0:01.600',-0.815,-0.910
'0:01.603',-0.815,-0.825
'0:01.606',-0.850,-0.785
'0:01.608',-0.925,-0.810
'0:01.611',-0.945,-0.880
'0:01.614',-0.965,-0.905
'0:01.617',-0.995,-0.900
'0:01.619',-1.015,-0.850
'0:01.622',-1.020,-0.795
'0:01.625',-1.030,-0.780
'0:01.628',-1.015,-0.810
'0:01.631',-0.985,-0.860
'0:01.633',-0.990,-0.855
'0:01.636',-0.990,-0.810
'0:01.639',-1.020,-0.755
'0:01.642',-1.035,-0.765
'0:01.644',-1.030,-0.810
'0:01.647',-1.030,-0.850
'0:01.650',-1.000,-0.840
'0:01.653',-0.995,-0.790
'0:01.656',-1.000,-0.725
'0:01.658',-1.005,-0.715
'0:01.661',-0.995,-0.765
'0:01.664',-0.970,-0.790
'0:01.667',-0.950,-0.810
'0:01.669',-0.960,-0.765
'0:01.672',-1.005,-0.730
'0:01.675',-1.015,-0.735
'0:01.678',-1.020,-0.765
'0:01.681',-1.015,-0.840
'0:01.683',-1.010,-0.830
'0:01.686',-0.995,-0.770
'0:01.689',-0.990,-0.715
'0:01.692',-0.990,-0.675
'0:01.694',-1.000,-0.705
'0:01.697',-0.980,-0.745
'0:01.700',-0.970,-0.760
'0:01.703',-0.945,-0.725
'0:01.706',-0.965,-0.675
'0:01.708',-0.985,-0.670
'0:01.711',-0.980,-0.705
'0:01.714',-0.980,-0.740
'0:01.717',-0.975,-0.735
'0:01.719',-0.975,-0.680
'0:01.722',-0.960,-0.645
'0:01.725',-0.960,-0.615
'0:01.728',-0.940,-0.660
'0:01.731',-0.935,-0.675
'0:01.733',-0.940,-0.660
'0:01.736',-0.930,-0.630
'0:01.739',-0.970,-0.605
'0:01.742',-0.965,-0.650
'0:01.744',-0.970,-0.695
'0:01.747',-0.955,-0.695
'0:01.750',-0.945,-0.660
'0:01.753',-0.935,-0.585
'0:01.756',-0.940,-0.585
'0:01.758',-0.930,-0.620
'0:01.761',-0.900,-0.645
'0:01.764',-0.880,-0.690
'0:01.767',-0.880,-0.645
'0:01.769',-0.900,-0.595
'0:01.772',-0.905,-0.580
'0:01.775',-0.935,-0.585
'0:01.778',-0.940,-0.675
'0:01.781',-0.935,-0.735
'0:01.783',-0.940,-0.720
'0:01.786',-0.925,-0.660
'0:01.789',-0.890,-0.605
'0:01.792',-0.880,-0.585
'0:01.794',-0.865,-0.635
'0:01.797',-0.860,-0.695
'0:01.800',-0.855,-0.715
'0:01.803',-0.870,-0.685
'0:01.806',-0.895,-0.665
'0:01.808',-0.890,-0.665
'0:01.811',-0.895,-0.745
'0:01.814',-0.890,-0.800
'0:01.817',-0.885,-0.800
'0:01.819',-0.880,-0.740
'0:01.822',-0.885,-0.680
'0:01.825',-0.895,-0.680
'0:01.828',-0.900,-0.710
'0:01.831',-0.870,-0.785
'0:01.833',-0.850,-0.820
'0:01.836',-0.850,-0.810
'0:01.839',-0.865,-0.765
'0:01.842',-0.890,-0.720
'0:01.844',-0.875,-0.745
'0:01.847',-0.890,-0.805
'0:01.850',-0.885,-0.855
'0:01.853',-0.900,-0.835
'0:01.856',-0.870,-0.785
'0:01.858',-0.885,-0.740
'0:01.861',-0.880,-0.735
'0:01.864',-0.895,-0.775
'0:01.867',-0.880,-0.835
'0:01.869',-0.880,-0.825
'0:01.872',-0.905,-0.775
'0:01.875',-0.930,-0.775
'0:01.878',-0.935,-0.775
'0:01.881',-0.925,-0.825
'0:01.883',-0.920,-0.865
'0:01.886',-0.900,-0.865
'0:01.889',-0.895,-0.785
'0:01.892',-0.900,-0.730
'0:01.894',-0.910,-0.695
'0:01.897',-0.910,-0.755
'0:01.900',-0.915,-0.825
'0:01.903',-0.910,-0.860
'0:01.906',-0.925,-0.865
'0:01.908',-0.950,-0.805
'0:01.911',-0.955,-0.785
'0:01.914',-0.965,-0.810
'0:01.917',-0.970,-0.850
'0:01.919',-0.960,-0.860
'0:01.922',-0.940,-0.820
'0:01.925',-0.935,-0.765
'0:01.928',-0.935,-0.740
'0:01.931',-0.945,-0.775
'0:01.933',-0.940,-0.820
'0:01.936',-0.945,-0.835
'0:01.939',-0.950,-0.800
'0:01.942',-0.970,-0.765
'0:01.944',-0.995,-0.785
'0:01.947',-1.000,-0.845
'0:01.950',-1.010,-0.885
'0:01.953',-1.010,-0.865
'0:01.956',-1.010,-0.795
'0:01.958',-1.025,-0.740
'0:01.961',-1.000,-0.735
'0:01.964',-1.000,-0.800
'0:01.967',-0.995,-0.855
'0:01.969',-0.980,-0.865
'0:01.972',-0.990,-0.835
'0:01.975',-1.000,-0.780
'0:01.978',-1.020,-0.760
'0:01.981',-1.015,-0.785
'0:01.983',-1.025,-0.830
'0:01.986',-1.005,-0.870
'0:01.989',-0.985,-0.855
'0:01.992',-0.985,-0.795
'0:01.994',-0.985,-0.755
'0:01.997',-0.970,-0.755
'0:02.000',-0.975,-0.800
'0:02.003',-0.950,-0.845
'0:02.006',-0.955,-0.830
'0:02.008',-0.950,-0.795
'0:02.011',-0.955,-0.765
'0:02.014',-0.955,-0.780
'0:02.017',-0.950,-0.835
'0:02.019',-0.930,-0.850
'0:02.022',-0.905,-0.825
'0:02.025',-0.895,-0.745
'0:02.028',-0.875,-0.695
'0:02.031',-0.860,-0.735
'0:02.033',-0.845,-0.805
'0:02.036',-0.810,-0.825
'0:02.039',-0.810,-0.825
'0:02.042',-0.800,-0.785
'0:02.044',-0.805,-0.725
'0:02.047',-0.795,-0.705
'0:02.050',-0.790,-0.755
'0:02.053',-0.755,-0.790
'0:02.056',-0.750,-0.775
'0:02.058',-0.740,-0.735
'0:02.061',-0.745,-0.670
'0:02.064',-0.770,-0.635
'0:02.067',-0.765,-0.660
'0:02.069',-0.770,-0.745
'0:02.072',-0.765,-0.765
'0:02.075',-0.760,-0.775
'0:02.078',-0.790,-0.715
'0:02.081',-0.810,-0.665
'0:02.083',-0.820,-0.675
'0:02.086',-0.805,-0.730
'0:02.089',-0.795,-0.780
'0:02.092',-0.785,-0.765
'0:02.094',-0.785,-0.730
'0:02.097',-0.795,-0.670
'0:02.100',-0.835,-0.630
'0:02.103',-0.860,-0.720
'0:02.106',-0.880,-0.790
'0:02.108',-0.900,-0.835
'0:02.111',-0.910,-0.855
'0:02.114',-0.915,-0.775
'0:02.117',-0.940,-0.735
'0:02.119',-0.975,-0.740
'0:02.122',-0.955,-0.745
'0:02.125',-0.955,-0.815
'0:02.128',-0.940,-0.770
'0:02.131',-0.925,-0.735
'0:02.133',-0.955,-0.715
'0:02.136',-0.975,-0.750
'0:02.139',-0.980,-0.795
'0:02.142',-1.010,-0.825
'0:02.144',-1.005,-0.810
'0:02.147',-1.000,-0.750
'0:02.150',-1.005,-0.735
'0:02.153',-0.990,-0.755
'0:02.156',-0.990,-0.790
'0:02.158',-0.990,-0.810
'0:02.161',-1.010,-0.765
'0:02.164',-1.045,-0.715
'0:02.167',-1.100,-0.725
'0:02.169',-1.175,-0.790
'0:02.172',-1.200,-0.855
'0:02.175',-1.200,-0.865
'0:02.178',-1.170,-0.840
'0:02.181',-1.110,-0.735
'0:02.183',-1.010,-0.635
'0:02.186',-0.865,-0.580
'0:02.189',-0.680,-0.575
'0:02.192',-0.465,-0.550
'0:02.194',-0.265,-0.475
'0:02.197',-0.090,-0.370
'0:02.200',0.065,-0.305
'0:02.203',0.210,-0.265
'0:02.206',0.350,-0.325
'0:02.208',0.500,-0.405
'0:02.211',0.605,-0.485
'0:02.214',0.665,-0.510
'0:02.217',0.700,-0.590
'0:02.219',0.695,-0.680
'0:02.222',0.660,-0.775
'0:02.225',0.630,-0.785
'0:02.228',0.535,-0.710
'0:02.231',0.405,-0.570
'0:02.233',0.150,-0.455
'0:02.236',-0.160,-0.440
'0:02.239',-0.470,-0.540
'0:02.242',-0.690,-0.675
'0:02.244',-0.840,-0.785
'0:02.247',-0.895,-0.830
'0:02.250',-0.925,-0.780
'0:02.253',-0.900,-0.760
'0:02.256',-0.860,-0.770
'0:02.258',-0.805,-0.790
'0:02.261',-0.800,-0.765
'0:02.264',-0.810,-0.730
'0:02.267',-0.875,-0.680
'0:02.269',-0.950,-0.670
'0:02.272',-1.000,-0.730
'0:02.275',-1.020,-0.790
'0:02.278',-1.045,-0.835
'0:02.281',-1.050,-0.790
'0:02.283',-1.065,-0.715
